file,occupancy_total,occupancy_fraction,occupancy_x_mean,occupancy_y_mean,occupancy_z_mean,occupancy_gradient_x,occupancy_gradient_y,occupancy_gradient_z,occupancy_gradient_total,occupancy_surface,grid_entropy,grid_moi_1,grid_moi_2,grid_moi_3,moi_principal_3,rdf_mean,rdf_kurtosis,entropy_spatial,ms_bandwidth,n_vacancies
1.2_vac,68.0,0.068,0.68,0.68,0.68,92.0,94.0,106.0,292.0,292.0,4.219507698376108,325.31026589501,286.6467883043596,225.7194163888656,785.3384755137147,4.401976923885141,-0.5235126769200948,4.234106504597262,3.999810853592237,2.0
10.004000,49.0,0.049,0.49,0.49,0.49,98.0,98.0,96.0,292.0,292.0,3.891820293210626,327.4977819897797,323.7843229006913,297.94238490544734,476.6472965929516,3.859340509008022,-0.963363498806364,3.891820298110627,3.252559228154138,1.0
100.004000,69.0,0.069,0.69,0.69,0.69,64.0,88.0,96.0,248.0,248.0,4.234106497697257,331.36872996998784,282.4453003298569,229.60625955522775,827.448326412133,4.447853511689389,-0.44737455688498207,4.276666119016054,4.0677498639271255,2.0
101.005000,70.0,0.07,0.7,0.7,0.7,80.0,78.0,100.0,258.0,258.0,4.248495235049358,325.0301451363491,303.21433942054983,236.52694401452982,831.231153504443,4.445552471846015,-0.495132238269012,4.262679877041316,4.105381827291933,2.0
102.000000,88.0,0.088,0.88,0.88,0.88,116.0,126.0,110.0,352.0,352.0,4.477336805678206,477.50772283807225,433.58948603702265,423.22097294308674,1344.7486263725236,4.8044952562194325,-0.482309869173275,4.477336814478207,4.396181298125923,3.0
103.001000,83.0,0.083,0.83,0.83,0.83,112.0,108.0,108.0,328.0,328.0,4.418840599496599,416.78141262519586,359.4490612441017,339.4803695041959,1217.309315695067,4.71608061105008,-0.48341460880134024,4.4308167988433125,4.232187562582553,3.0
104.002000,84.0,0.084,0.84,0.84,0.84,116.0,104.0,114.0,334.0,334.0,4.430816790443312,448.5169197950234,408.85353154771116,375.27240580012244,1226.9533287172517,4.732152559296882,-0.29735889642896707,4.442651256490314,4.365770063112223,3.0
105.003000,87.0,0.087,0.87,0.87,0.87,116.0,116.0,112.0,344.0,344.0,4.465908109954582,471.24444213059473,425.54375372031143,412.26927541346174,1310.7058000229592,4.786521099630309,-0.48117541590031365,4.465908118654583,4.3806935073153666,3.0
106.004000,86.0,0.086,0.86,0.86,0.86,110.0,110.0,116.0,336.0,336.0,4.454347287653507,436.5936013406346,406.8736326624724,382.9978822759628,1242.4198687237188,4.742561976173423,-0.454672276668735,4.4543472962535064,4.35018900766149,3.0
107.005000,83.0,0.083,0.83,0.83,0.83,110.0,110.0,118.0,338.0,338.0,4.418840599496599,441.816311765956,419.6895332639607,405.9640344881553,1211.221624212736,4.690674459533538,-0.5062715738323527,4.4188406077966,4.236960079224796,3.0
